                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2045,                 1.5541,                 1.3913,                0.59926,                0.44724,                0.48675,                0.34265,                 1.1129,                 1.3151,                 1.3135,              0.0089044,              0.0089044,              0.0089044
                     36,                  1.202,                 1.5481,                  1.389,                0.58629,                0.45169,                0.48881,                0.34449,                 1.1095,                 1.3051,                  1.308,              0.0088712,              0.0088712,              0.0088712
                     37,                 1.1996,                  1.541,                 1.3885,                 0.5983,                0.45417,                 0.4922,                0.34712,                  1.107,                  1.296,                 1.3055,               0.008838,               0.008838,               0.008838
                     38,                 1.1966,                 1.5343,                 1.3816,                 0.5946,                0.46054,                0.49606,                0.34971,                 1.1042,                 1.2866,                 1.3032,              0.0088048,              0.0088048,              0.0088048
                     39,                 1.1918,                 1.5216,                 1.3785,                0.61249,                0.45414,                 0.4977,                0.34992,                 1.1007,                 1.2793,                 1.2992,              0.0087716,              0.0087716,              0.0087716
                     40,                 1.1927,                 1.5258,                 1.3784,                0.60131,                0.46117,                0.50118,                0.35373,                 1.0992,                  1.269,                 1.2968,              0.0087384,              0.0087384,              0.0087384
                     41,                  1.197,                  1.522,                 1.3786,                0.59564,                0.46888,                0.50508,                0.35544,                 1.0975,                 1.2628,                 1.2946,              0.0087052,              0.0087052,              0.0087052
                     42,                   1.19,                 1.5181,                 1.3763,                0.60308,                0.47002,                0.50682,                0.35797,                 1.0943,                 1.2553,                 1.2921,               0.008672,               0.008672,               0.008672
                     43,                 1.1928,                 1.5159,                 1.3753,                0.60215,                0.47091,                0.50861,                0.35955,                 1.0931,                 1.2516,                 1.2912,              0.0086388,              0.0086388,              0.0086388
                     44,                 1.1814,                 1.5063,                 1.3694,                0.60501,                0.46859,                0.50967,                0.36072,                  1.089,                 1.2448,                 1.2872,              0.0086056,              0.0086056,              0.0086056
                     45,                  1.189,                 1.5101,                 1.3712,                0.60268,                0.47499,                0.51233,                0.36212,                 1.0886,                 1.2394,                 1.2862,              0.0085724,              0.0085724,              0.0085724
                     46,                  1.187,                 1.4997,                 1.3701,                0.60199,                0.47611,                 0.5134,                0.36296,                 1.0864,                  1.237,                 1.2841,              0.0085392,              0.0085392,              0.0085392
                     47,                 1.1852,                 1.5061,                   1.37,                0.59922,                 0.4787,                0.51601,                0.36588,                 1.0856,                 1.2301,                 1.2818,               0.008506,               0.008506,               0.008506
                     48,                 1.1818,                 1.4967,                 1.3664,                0.60635,                0.48078,                0.51791,                0.36707,                 1.0842,                 1.2272,                 1.2808,              0.0084728,              0.0084728,              0.0084728
                     49,                 1.1823,                 1.4963,                 1.3685,                0.60969,                 0.4787,                0.51843,                0.36855,                 1.0829,                 1.2222,                 1.2791,              0.0084396,              0.0084396,              0.0084396
                     50,                 1.1812,                 1.4932,                 1.3667,                0.60406,                0.48328,                 0.5201,                0.36941,                 1.0826,                 1.2188,                 1.2786,              0.0084064,              0.0084064,              0.0084064
                     51,                 1.1795,                 1.4904,                 1.3645,                 0.5889,                0.48681,                 0.5192,                0.37005,                 1.0819,                 1.2165,                 1.2782,              0.0083732,              0.0083732,              0.0083732
                     52,                 1.1817,                 1.4863,                 1.3647,                0.61874,                0.48283,                0.52492,                0.37211,                 1.0808,                 1.2104,                 1.2753,                0.00834,                0.00834,                0.00834
                     53,                 1.1773,                 1.4808,                 1.3626,                0.61539,                0.48242,                0.52359,                 0.3717,                 1.0802,                 1.2084,                 1.2757,              0.0083068,              0.0083068,              0.0083068
                     54,                 1.1821,                 1.4753,                 1.3621,                 0.6115,                0.48674,                0.52447,                0.37315,                 1.0789,                 1.2048,                 1.2739,              0.0082736,              0.0082736,              0.0082736
                     55,                 1.1753,                 1.4772,                 1.3614,                0.61725,                0.48768,                 0.5271,                0.37431,                 1.0764,                 1.2016,                 1.2714,              0.0082404,              0.0082404,              0.0082404
